"Spiel-ID","Game-ID","Teamname","Gegner","Club","Spieler 1","Pins 1","Pins Gegner 1","EDV 1","Spieler 2","Pins 2","Pins Gegner 2","EDV 2","Spieler 3","Pins 3","Pins Gegner 3","EDV 3","Spieler 4","Pins 4","Pins Gegner 4","EDV 4","Pins Gesamt","Pins Gegner","Checksumme","check","Prüfnummer","Eintrags-ID","Datum des Eintrags","Aktualisierungsdatum"
"Spt5 - SG DJK Rimpar 1 - Sp.5","BAYL-M-554","SG DJK Rimpar 1","Schanzer Ingolstadt 1","DJK Rimpar","Kreß Michael","258","215","10622","Wunderlich Henning","188","176","38018","Scholz Alexander","188","182","16352","Werder Jan-Uwe","168","231","16301","802","804","767751","0","23571113","31184","2026-03-01 18:23:45","2026-03-01 17:23:45"
"Spt5 - BC EMAX  2 - Sp.9","BAYL-M-593","BC EMAX Unterföhring 2","BK München 3","BC EMAX","Fliegner Torsten","169","197","7418","Pirzer Robert","192","232","7428","Fliegner Selim","180","167","38673","Blasits Ernst","187","185","25554","728","781","492655","0","23571113","31163","2026-03-01 14:05:38","2026-03-01 13:05:38"
"Spt5 - BK München 3 - Sp.9","BAYL-M-593","BK München 3","BC EMAX Unterföhring 2","BK München","Börding Peter","197","169","7593","Börding Daniel","232","192","7591","Baszler Patrick","167","180","7886","Hinterwimmer Sebastian","185","187","7885","781","728","770672","1","770672","31162","2026-03-01 14:05:37","2026-03-01 13:05:37"
"Spt5 - Schanzer  1 - Sp.9","BAYL-M-595","Schanzer Ingolstadt 1","Donaubowler Regensburg 1","BC Schanzer Strikers","Schütze Oliver","156","220","38550","Kirschenbauer Frank","165","186","7344","Schmied Markus","225","181","38361","Spielvogel Jochen","179","205","7348","725","792","516063","1","516063","31159","2026-03-01 14:02:33","2026-03-01 13:02:33"
"Spt5 - Donaubowler  1 - Sp.9","BAYL-M-595","Donaubowler Regensburg 1","Schanzer Ingolstadt 1","BC Donau - Bowler","Radecker Sebastian","220","156","38025","Seltmann Dominik","186","165","25604","Obermeier Kurt","181","225","7831","Hürdler Marco","205","179","25271","792","725","819373","1","819373","31157","2026-03-01 14:00:26","2026-03-01 13:00:26"
"Spt5 - Bowlinghaus  1 - Sp.9","BAYL-M-591","Bowlinghaus Bamberg 1","BC Comet Nürnberg","BC Bamberger Bowlinghaus","Karl William","216","268","16532","Nolan Jonathan","223","214","16873","Trapphardt Bernd","186","178","16559","Renner Alexander","204","226","16251","829","886","842840","1","842840","31156","2026-03-01 14:00:19","2026-03-01 13:00:19"
"Spt5 - BC Comet  - Sp.9","BAYL-M-591","BC Comet Nürnberg","Bowlinghaus Bamberg 1","Comet","Schick Andreas","268","216","7102","Mittelmaier Andreas","214","223","16896","Schlick Christian","178","186","7724","Schlundt Michael","226","204","7725","886","829","487859","1","487859","31155","2026-03-01 14:00:04","2026-03-01 13:00:04"
"Spt5 - SG DJK Rimpar 1 - Sp.9","BAYL-M-592","SG DJK Rimpar 1","Bajuwaren München 1","DJK Rimpar","Kreß Michael","190","180","10622","Wunderlich Henning","158","159","38018","Weissenseel Marc","183","180","38723","Werder Jan-Uwe","238","134","16301","769","653","604180","1","604180","31154","2026-03-01 13:57:15","2026-03-01 12:57:15"
"Spt5 - Bajuwaren  1 - Sp.9","BAYL-M-592","Bajuwaren München 1","SG DJK Rimpar 1","BC Bajuwaren","Glasl Hans-Jürgen","180","190","7408","Lehmann Torsten","159","158","7411","Reichert Ralph","180","183","7416","Lüthje Volker","134","238","7601","653","769","883248","1","883248","31153","2026-03-01 13:56:53","2026-03-01 12:56:53"
"Spt5 - Werdenfels 1 - Sp.9","BAYL-M-594","Werdenfels 1","SG Rottendorf 1","BC Werdenfels","Kral Ewald","197","186","7309","Ring Michael","227","166","7317","Musiol Jan","221","160","25166","Hellmich Daniel","188","222","7314","833","734","894955","1","894955","31152","2026-03-01 13:56:46","2026-03-01 12:56:46"
"Spt5 - SG Rottendorf 1 - Sp.9","BAYL-M-594","SG Rottendorf 1","Werdenfels 1","SG-Rottendorf","Büttner Christian","186","197","16862","Reichardt Stefan","166","227","16945","Wörrlein Jonas","160","221","25199","Stemmler Patrick","222","188","16495","734","833","871434","1","871434","31151","2026-03-01 13:56:43","2026-03-01 12:56:43"
"Spt5 - Schanzer  1 - Sp.8","BAYL-M-583","Schanzer Ingolstadt 1","BC Comet Nürnberg","BC Schanzer Strikers","Schütze Oliver","206","247","38550","Kirschenbauer Frank","203","199","7344","Schmied Markus","222","235","38361","Spielvogel Jochen","184","223","7348","815","904","887888","1","887888","31138","2026-03-01 13:13:58","2026-03-01 12:13:58"
"Spt5 - BC Comet  - Sp.8","BAYL-M-583","BC Comet Nürnberg","Schanzer Ingolstadt 1","Comet","Schick Andreas","247","206","7102","Mittelmaier Andreas","199","203","16896","Schlick Christian","235","222","7724","Schlundt Michael","223","184","7725","904","815","487354","1","487354","31137","2026-03-01 13:12:17","2026-03-01 12:12:17"
"Spt5 - Donaubowler  1 - Sp.8","BAYL-M-584","Donaubowler Regensburg 1","Bajuwaren München 1","BC Donau - Bowler","Radecker Sebastian","189","208","38025","Hartfeil Volkmar","165","169","7830","Obermeier Kurt","171","194","7831","Hürdler Marco","236","172","25271","761","743","531517","1","531517","31136","2026-03-01 13:09:28","2026-03-01 12:09:28"
"Spt5 - Bajuwaren  1 - Sp.8","BAYL-M-584","Bajuwaren München 1","Donaubowler Regensburg 1","BC Bajuwaren","Glasl Hans-Jürgen","208","189","7408","Lehmann Torsten","169","165","7411","Reichert Ralph","194","171","7416","Lüthje Volker","172","236","7601","743","761","298353","1","298353","31135","2026-03-01 13:08:06","2026-03-01 12:08:06"
"Spt5 - SG Rottendorf 1 - Sp.8","BAYL-M-581","SG Rottendorf 1","BK München 3","SG-Rottendorf","Büttner Christian","202","183","16862","Reichardt Stefan","209","214","16945","Wörrlein Jonas","195","160","25199","Stemmler Patrick","169","229","16495","775","786","479614","1","479614","31134","2026-03-01 13:07:34","2026-03-01 12:07:34"
"Spt5 - BK München 3 - Sp.8","BAYL-M-581","BK München 3","SG Rottendorf 1","BK München","Börding Peter","183","202","7593","Börding Daniel","214","209","7591","Baszler Patrick","160","195","7886","Hinterwimmer Sebastian","229","169","7885","786","775","111420","1","111420","31133","2026-03-01 13:07:13","2026-03-01 12:07:13"
"Spt5 - BC EMAX  2 - Sp.8","BAYL-M-582","BC EMAX Unterföhring 2","Bowlinghaus Bamberg 1","BC EMAX","Fliegner Torsten","130","163","7418","Pirzer Robert","220","148","7428","Fliegner Selim","185","213","38673","Blasits Ernst","188","158","25554","723","682","452745","0","23571113","31132","2026-03-01 13:06:12","2026-03-01 12:06:12"
"Spt5 - Bowlinghaus  1 - Sp.8","BAYL-M-582","Bowlinghaus Bamberg 1","BC EMAX Unterföhring 2","BC Bamberger Bowlinghaus","Nolan Jonathan","163","130","16873","Burghardt Mario","148","220","12248","Trapphardt Bernd","213","185","16559","Renner Alexander","158","188","16251","682","723","883377","1","883377","31131","2026-03-01 13:05:38","2026-03-01 12:05:38"
