id,name,short_name,home_alley_id,address
15087475-2b65-4566-afdb-473d00780327,Albrecht Dürer 71 Stein,AD Stein,,
bbf5deca-f5b6-464e-a397-d6eb2f3f9a89,BC Comet Nürnberg,BC Comet,,
ebbb03af-4d45-4722-a1b3-e30e378b7f83,BC EMAX Unterföhring,BC EMAX,,
d07d67d5-48ff-4172-9b75-362717bfcb0a,BK München,BK München,,
599264e2-80ee-42d3-851a-a4d19a378b82,Bajuwaren München,Bajuwaren,,
f62137e4-92e3-4758-9b68-4d6f3e4dc726,Bowlinghaus Bamberg,Bowlinghaus,,
3c32a4a5-2d89-455f-bb33-23f4818b57fb,Castra Regina Regensburg,Castra Regina,,
7cdb0693-896b-43d7-9761-410f96d7a8ef,Donaubowler Regensburg,Donaubowler,,
9fe6f067-87ea-4677-ba67-a932aaa6f30a,Eintracht Lauf,Eintracht,,
828b555f-f1a0-40d0-b9cf-737d2e6f95a7,Gute Laune Lauf,Gute Laune,,
e857f392-c7fe-46f6-a828-e72e173eab34,High Roller Rosenheim,High Roller,,
1312d62b-c2da-42a7-b7c2-0b4e517c7a31,Kings Club Bayreuth Land,Kings Club,,
cac23f92-1a45-4627-a76e-5b7e96346e9e,Mainauenbowler Bayreuth Land,Mainauenbowler,,
47241967-d58d-48f2-ac1a-d8ca3e0faf20,RW Lichtenhof 69 Stein,Lichtenhof,,
f2480849-adba-45c5-8dcf-dea35995446f,SG DJK Rimpar,Rimpar,,
d38fc8b8-24d7-4eca-bf60-6f4c05ae70a8,SG Rottendorf,Rottendorf,,
eb626042-cbcf-41c4-8665-0ab5036ef80f,Schanzer Ingolstadt,Schanzer,,
5b08a5ea-45dc-4596-87ab-d327a360757d,Werdenfels,Werdenfels,,
